Copyright 1986-2022 Xilinx, Inc. All Rights Reserved. Copyright 2022-2026 Advanced Micro Devices, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2026.1 (win64) Build 6511674 Tue Jun 16 11:02:23 MDT 2026
| Date         : Fri Sep 18 07:44:34 2026
| Host         : 4080PC running 64-bit major release  (build 9200)
| Command      : report_utilization -hierarchical -hierarchical_depth 4 -file F:/oracle/board/attn/attn12-utilization-hier.txt
| Design       : design_1_wrapper
| Device       : xck26-sfvc784-2LV-c
| Speed File   : -2LV
| Design State : Physopt postRoute
---------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------------------------+------------------------------------------------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|                        Instance                        |                              Module                              | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         INCLUDE_MM2S_SOF_EOF_GENERATOR.I_MM2S_DMA_MNGR |                                design_1_dma3_0_axi_dma_mm2s_mngr |         16 |         16 |       0 |    0 |    84 |      0 |      0 |    0 |          0 |
|         INCLUDE_S2MM_SOF_EOF_GENERATOR.I_S2MM_DMA_MNGR |                                design_1_dma3_0_axi_dma_s2mm_mngr |         32 |         32 |       0 |    0 |   112 |      0 |      0 |    0 |          0 |
|         I_AXI_DMA_REG_MODULE                           |                               design_1_dma3_0_axi_dma_reg_module |        166 |        166 |       0 |    0 |   331 |      0 |      0 |    0 |          0 |
|         I_PRMRY_DATAMOVER                              |                                    design_1_dma3_0_axi_datamover |       1830 |       1680 |      10 |  140 |  2551 |     10 |      2 |    0 |          0 |
|     eng0                                               |                                                  design_1_eng0_0 |      25141 |      17757 |    7368 |   16 |  6032 |     10 |      0 |   10 |        164 |
|       (eng0)                                           |                                                  design_1_eng0_0 |        192 |        192 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|       inst                                             |                                 design_1_eng0_0_ternary_port_axi |      24950 |      17566 |    7368 |   16 |  6032 |     10 |      0 |   10 |        164 |
|         attention                                      |                                      design_1_eng0_0_attn_fx_axi |      21148 |      13767 |    7368 |   13 |  4200 |      0 |      0 |    0 |        164 |
|         engine                                         |                                   design_1_eng0_0_ternary_matvec |       3804 |       3801 |       0 |    3 |  1832 |     10 |      0 |   10 |          0 |
|     eng1                                               |                                                  design_1_eng1_0 |      25193 |      17809 |    7368 |   16 |  6051 |     10 |      0 |   10 |        164 |
